#	Pvm	Kello	Ottelu	Tulos	JA/VL	Lisätiedot	Yleisöä
221.		17:00	KalPa - Jokerit	3-0		Maalit | Kokoonpanot | Seuranta	5224
222.		17:00	Pelicans - Ilves	5-2		Maalit | Kokoonpanot | Seuranta	3950
223.		17:00	SaiPa - Lukko	2-1	VL	Maalit | Kokoonpanot | Seuranta	3926
224.		17:00	Tappara - JYP	2-5		Maalit | Kokoonpanot | Seuranta	5726
225.		17:00	Ässät - Blues	5-2		Maalit | Kokoonpanot | Seuranta	4538
226.	Ti 05.01.	18:30	HIFK - Tappara	4-6		Maalit | Kokoonpanot | Seuranta	6629
227.		18:30	Jokerit - Lukko	6-3		Maalit | Kokoonpanot | Seuranta	7096
228.	To 07.01.	18:30	HPK - KalPa	4-1		Maalit | Kokoonpanot | Seuranta	3051
229.		18:30	Ilves - SaiPa	1-2		Maalit | Kokoonpanot | Seuranta	4803
230.		18:30	Jokerit - Pelicans	6-0		Maalit | Kokoonpanot | Seuranta	7692
231.		18:30	Kärpät - Ässät	3-1		Maalit | Kokoonpanot | Seuranta	4655
232.	Pe 08.01.	18:30	Blues - Tappara	1-4		Maalit | Kokoonpanot | Seuranta	4339
233.		18:30	TPS - HIFK	1-4		Maalit | Kokoonpanot | Seuranta	8513
234.	La 09.01.	17:00	Jokerit - HPK	3-0		Maalit | Kokoonpanot | Seuranta	7079
235.		17:00	KalPa - JYP	1-2	JA	Maalit | Kokoonpanot | Seuranta	5224
236.		17:00	Lukko - Ilves	3-2		Maalit | Kokoonpanot | Seuranta	4365
237.		17:00	Pelicans - Blues	4-3	VL	Maalit | Kokoonpanot | Seuranta	3672
238.		17:00	SaiPa - TPS	4-3		Maalit | Kokoonpanot | Seuranta	4825
239.		18:30	Tappara - Kärpät	4-1		Maalit | Kokoonpanot | Seuranta	6025
240.		17:00	Ässät - HIFK	6-2		Maalit | Kokoonpanot | Seuranta	5158
241.	Ti 12.01.	18:30	Blues - Jokerit	2-3	JA	Maalit | Kokoonpanot | Seuranta	4423
242.		18:30	HPK - SaiPa	2-4		Maalit | Kokoonpanot | Seuranta	3278
243.		18:30	Ilves - KalPa	5-6		Maalit | Kokoonpanot | Seuranta	4750
244.		18:30	Kärpät - JYP	2-3	JA	Maalit | Kokoonpanot | Seuranta	5170
245.		18:30	Pelicans - Lukko	3-4	JA	Maalit | Kokoonpanot | Seuranta	3257
246.		18:30	TPS - Ässät	4-5		Maalit | Kokoonpanot | Seuranta	4461
247.	To 14.01.	18:30	HIFK - Blues	3-2		Maalit | Kokoonpanot | Seuranta	6077
248.		18:30	KalPa - Pelicans	5-3		Maalit | Kokoonpanot | Seuranta	3553
249.		18:30	SaiPa - Kärpät	0-3		Maalit | Kokoonpanot | Seuranta	3551
250.		18:30	Tappara - Ässät	4-3		Maalit | Kokoonpanot | Seuranta	5477
251.	Pe 15.01.	18:30	Jokerit - Kärpät	4-1		Maalit | Kokoonpanot | Seuranta	9076
252.		18:30	JYP - HPK	1-0	VL	Maalit | Kokoonpanot | Seuranta	4146
253.		18:30	Lukko - TPS	5-2		Maalit | Kokoonpanot | Seuranta	3794
254.	La 16.01.	17:00	Blues - Lukko	2-4		Maalit | Kokoonpanot | Seuranta	4496
255.		17:00	Ilves - HPK	2-5		Maalit | Kokoonpanot | Seuranta	5632
256.		17:00	Pelicans - HIFK	3-4	VL	Maalit | Kokoonpanot | Seuranta	4910
257.		17:00	SaiPa - Tappara	1-3		Maalit | Kokoonpanot | Seuranta	4580
258.		17:00	TPS - KalPa	3-4		Maalit | Kokoonpanot | Seuranta	4567
259.		18:30	Ässät - JYP	2-1	VL	Maalit | Kokoonpanot | Seuranta	3862
260.	Ti 19.01.	18:30	Jokerit - Ilves	5-4		Maalit | Kokoonpanot | Seuranta	6317
261.	Ke 20.01.	18:30	Kärpät - Lukko	3-2	JA	Maalit | Kokoonpanot | Seuranta	5583
262.	To 21.01.	18:30	HIFK - Ilves	6-1		Maalit | Kokoonpanot | Seuranta	5419
263.		18:30	JYP - Blues	2-3	JA	Maalit | Kokoonpanot | Seuranta	3904
264.		18:30	KalPa - Ässät	5-3		Maalit | Kokoonpanot | Seuranta	3767
265.		18:30	Pelicans - SaiPa	5-2		Maalit | Kokoonpanot | Seuranta	3166
266.		18:30	Tappara - Jokerit	2-1	JA	Maalit | Kokoonpanot | Seuranta	6106
267.	La 23.01.	17:00	HPK - Ässät	5-3		Maalit | Kokoonpanot | Seuranta	3824
268.		17:00	Ilves - Blues	1-3		Maalit | Kokoonpanot | Seuranta	4976
269.		17:00	Jokerit - JYP	1-3		Maalit | Kokoonpanot | Seuranta	9947
270.		17:00	Kärpät - Pelicans	5-6		Maalit | Kokoonpanot | Seuranta	5538
271.		16:00	Lukko - HIFK	6-2		Maalit | Kokoonpanot | Seuranta	4581
272.		17:00	SaiPa - KalPa	5-1		Maalit | Kokoonpanot | Seuranta	3478
273.		18:30	TPS - Tappara	4-3	VL	Maalit | Kokoonpanot | Seuranta	6791
274.	Ti 26.01.	18:30	Blues - HPK	3-2		Maalit | Kokoonpanot | Seuranta	3716
275.		18:30	Jokerit - Ässät	3-0		Maalit | Kokoonpanot | Seuranta	7886
276.	To 28.01.	18:30	Blues - TPS	3-2	VL	Maalit | Kokoonpanot | Seuranta	4083
277.		18:30	HIFK - SaiPa	3-2		Maalit | Kokoonpanot | Seuranta	5574
278.		18:30	Ilves - Pelicans	5-3		Maalit | Kokoonpanot | Seuranta	4442
279.		18:30	KalPa - Kärpät	3-2	JA	Maalit | Kokoonpanot | Seuranta	4200
280.		18:30	Ässät - Jokerit	2-4		Maalit | Kokoonpanot | Seuranta	3109
281.	Pe 29.01.	18:30	JYP - Ilves	3-2	JA	Maalit | Kokoonpanot | Seuranta	4074
282.		18:30	Pelicans - HPK	1-3		Maalit | Kokoonpanot | Seuranta	4043
283.		18:30	Tappara - Lukko	5-3		Maalit | Kokoonpanot | Seuranta	6042
284.	La 30.01.	17:00	Blues - KalPa	2-3		Maalit | Kokoonpanot | Seuranta	5159
285.		17:00	HPK - Tappara	5-4		Maalit | Kokoonpanot | Seuranta	4495
286.		17:00	Kärpät - HIFK	4-2		Maalit | Kokoonpanot | Seuranta	6614
287.		18:30	Lukko - JYP	1-2		Maalit | Kokoonpanot | Seuranta	4195
288.		17:00	SaiPa - Ässät	0-2		Maalit | Kokoonpanot | Seuranta	4120
289.		17:00	TPS - Jokerit	3-2		Maalit | Kokoonpanot | Seuranta	7528
290.	Ti 02.02.	18:30	HIFK - KalPa	2-5		Maalit | Kokoonpanot | Seuranta	5943
291.		18:30	JYP - Pelicans	2-5		Maalit | Kokoonpanot | Seuranta	3784
292.		18:30	Lukko - HPK	2-4		Maalit | Kokoonpanot | Seuranta	4011
293.		18:30	Tappara - Blues	2-3	VL	Maalit | Kokoonpanot | Seuranta	5903
294.		18:30	TPS - SaiPa	5-2		Maalit | Kokoonpanot | Seuranta	4547
295.		18:30	Ässät - Kärpät	2-0		Maalit | Kokoonpanot | Seuranta	3237
296.	To 04.02.	18:30	Blues - Ässät	4-3	VL	Maalit | Kokoonpanot | Seuranta	3742
297.		18:30	HIFK - JYP	3-0		Maalit | Kokoonpanot | Seuranta	6305
